Increase,Decrease,Level (%),
0,0,0,0
0,25,5.25,-1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
25,0,5.5,1
0,0,0,0
0,25,4.75,-1
0,25,5,-1
0,25,5.25,-1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
25,0,5.5,1
0,0,0,0
25,0,5.25,1
25,0,5,1
0,0,0,0
0,0,0,0
0,0,0,0
0,50,6,-1
0,50,6,-1
0,0,0,0
0,0,0,0
0,0,0,0
50,0,6.5,1
25,0,6,1
25,0,5.75,1
0,25,1.75,-1
0,50,2,-1
0,50,2.5,-1
0,25,3.5,-1
0,25,3.75,-1
0,50,4,-1
0,50,5,-1
0,50,5.5,-1
0,0,0,0
0,50,1.25,-1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,25,1,-1
0,0,0,0
0,0,0,0
0,0,0,0
25,0,2.25,1
25,0,2,1
25,0,1.75,1
25,0,1.5,1
25,0,1.25,1
0,0,0,0
0,0,0,0
0,0,0,0
25,0,4.25,1
25,0,4,1
25,0,3.75,1
25,0,3.5,1
25,0,3.25,1
25,0,3,1
25,0,2.75,1
25,0,2.5,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
25,0,5.25,1
25,0,5,1
25,0,4.75,1
25,0,4.5,1
0,25,4.25,-1
0,25,4.5,-1
0,50,4.75,-1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,75-100,0-0.25,-1
0,50,1,-1
0,0,0,0
0,0,0,0
0,0,0,0
0,25,2,-1
0,75,2.25,-1
0,50,3,-1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
25,0,0.25-0.50,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
25,0,0.50-0.75,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
25,0,1.25-1.50,1
0,0,0,0
0,0,0,0
0,0,0,0
25,0,1.00-1.25,1
0,0,0,0
25,0,0.75-1.00,1
0,0,0,0
25,0,2.25-2.50,1
0,0,0,0
25,0,2.00-2.25,1
0,0,0,0
25,0,1.75-2.00,1
0,0,0,0
25,0,1.50-1.75,1
0,0,0,0
